imdb_id,title_x,poster_path,wiki_link,title_y,original_title,is_adult,year_of_release,runtime,genres,imdb_rating,imdb_votes,story,summary,tagline,actors,wins_nominations,release_date,director_1_name,director_2_name,director_1_gender,director_2_gender,box_office_cleaned_inr_crore
tt2554042,Maazii,https://upload.wikimedia.org/wikipedia/en/thumb/a/af/Maazii_%28movie_poster%29.jpg/220px-Maazii_%28movie_poster%29.jpg,https://en.wikipedia.org/wiki/Maazii_(2013_film),Maazii,Maazii,0,2013,123,Thriller,6.7,64.0,Tarun and his wife Shrishti are living a happy life with there daughter . One day to save the Honor of a woman Tarun accidentally kills two gangsters. After this his black past unfolds and starts haunting his present life. Tarun has to go back to his roots and get out of his past to make his family secure and happy.,Tarun and his wife Shrishti are living a happy life with there daughter . One day to save the Honor of a woman Tarun accidentally kills two gangsters. After this his black past unfolds and ...                    ,,Sumit Nijhawan|Mona Wasu|,1 win,27 September 2013 (India),Jaideep Chopra,,Male,,
tt6040012,MSG: The Warrior Lion Heart,https://upload.wikimedia.org/wikipedia/en/thumb/b/bb/MSG_the_warrior_lion_heart_poster.jpg/220px-MSG_the_warrior_lion_heart_poster.jpg,https://en.wikipedia.org/wiki/MSG:_The_Warrior_Lion_Heart,MSG the Warrior: Lion Heart,MSG the Warrior: Lion Heart,0,2016,120,Adventure|Fantasy|Sci-Fi,6.9,7323.0,The story is about medieval warrior who fights for the honor of his land and the dignity of the womenfolk. The story travels centuries apart as he emerges in another role as a modern Indian equivalent of James Bond  a stylish top secret agent. The marauding aliens run amok  as they are hundreds of years ahead in technology. LionHeart is their only stumbling block in their march to overpower Planet Earth. Will LionHeart manage with his primitive weapons  or will he surrender. There is romance apart from action and high drama and finally  an amazing twist in the tale!!,The story is about medieval warrior who fights for the honor of his land and the dignity of the womenfolk. The story travels centuries apart as he emerges in another role as a modern Indian...                    ,,Ashok Insan|Bhushan Insan|Charanpreet Insan|Garima Insan|Honeypreet Insan|Kainaat Insan|Rajesh Insan|Sukhottam Insan|,,7 October 2016 (India),Gurmeet Ram Rahim Singh,,Male,,
tt7743400,Jhalki,https://upload.wikimedia.org/wikipedia/en/thumb/e/e3/Jhalki_Movie_Official_Poster.jpg/220px-Jhalki_Movie_Official_Poster.jpg,https://en.wikipedia.org/wiki/Jhalki,Jhalki,Jhalki,0,2019,\N,Drama,,,A life-altering disappearance of her 7-year old brother sets Jhalki off on a mission to find him at all costs. Armed with an intimate folk-tale and her own sharp mind  is Jhalki's journey the start of a spiral that will change the lives of thousands for good? What price must she pay to get what she wants? Inspired by true events  with a backdrop of human-trafficking and child-labour  Jhalki becomes an atypical thriller of hope  courage  self-belief and perseverance  seen through the eyes of a 9-year-old girl  who will not stop anywhere short of a triumph.,A life-altering disappearance of her 7-year old brother sets Jhalki off on a mission to find him at all costs. Armed with an intimate folk-tale and her own sharp mind  is Jhalki's journey ...                    ,,Boman Irani|Tannishtha Chatterjee|Divya Dutta|Sanjay Suri|Akhilendra Mishra|Govind Namdeo|Yatin Karyekar|Joy Sengupta|Sailesh Dubey|Bachan Pachehra|Sanchita Goswami|Goraksha Sakpal|Vikram Singh|Aarti Jha|,,,Brahmanand S. Singh,Tanvi Jain,Unknown,Female,
tt2186731,Department (film),https://upload.wikimedia.org/wikipedia/en/thumb/b/b6/Department_movie_poster.jpg/220px-Department_movie_poster.jpg,https://en.wikipedia.org/wiki/Department_(film),Department,Department,0,2012,141,Action|Crime|Thriller,3.2,902.0,A suspended cop joins hands with inspector Mahadev Bhonsle to free the city from underworld.,A suspended cop joins hands with inspector Mahadev Bhonsle to free the city from underworld.,,Sanjay Dutt|Rana Daggubati|Lakshmi Manchu|Vijay Raaz|Anjana Sukhani|Neeraj Vora|,1 win,18 May 2012 (India),Ram Gopal Varma,,Male,,19.05
tt4556848,Barkhaa,https://upload.wikimedia.org/wikipedia/en/thumb/e/ef/Barkhaa_Movie_Poster.jpg/220px-Barkhaa_Movie_Poster.jpg,https://en.wikipedia.org/wiki/Barkhaa_(2015_film),Barkhaa,Barkhaa,0,2015,127,Drama|Romance,5.1,283.0,Follows the relationship between two young minds  which took a unfavorable turn.,Follows the relationship between two young minds  which took a unfavorable turn.,,Sara Loren|Priyanshu Chatterjee|,,27 March 2015 (India),Shadaab Mirza,,Unknown,,1.33
tt6711660,Babumoshai Bandookbaaz,https://upload.wikimedia.org/wikipedia/en/thumb/d/d0/Babumoshai_Bandookbaaz_-_Poster.jpg/220px-Babumoshai_Bandookbaaz_-_Poster.jpg,https://en.wikipedia.org/wiki/Babumoshai_Bandookbaaz,Babumoshai Bandookbaaz,Babumoshai Bandookbaaz,0,2017,122,Action|Crime|Thriller,6.9,1508.0,The movie  filled with humor and romance  is a quirky ride into the life and times of a small time contract killer  Babu  played by Nawazuddin Siddiqui. The film spins around his love  his friends  his rivalries and his revenge.,The movie  filled with humor and romance  is a quirky ride into the life and times of a small time contract killer  Babu  played by Nawazuddin Siddiqui. The film spins around his love  his friends  his rivalries and his revenge.,,Nawazuddin Siddiqui|Bidita Bag|Jatin Goswami|Shradha Das|Divya Dutta|Murli Sharma|Bhagwan Tiwari|Anita Sahgal|Naveen Tyagi|Sanjay Inamdar|Anil George|Simran Nisha|Jeetu Shivhare|,,25 August 2017 (USA),Kushan Nandy,,Male,,12.6
tt1954598,Ladies vs Ricky Bahl,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/LadiesVsRickyBahl2.jpg/220px-LadiesVsRickyBahl2.jpg,https://en.wikipedia.org/wiki/Ladies_vs_Ricky_Bahl,Ladies vs. Ricky Bahl,Ladies vs. Ricky Bahl,0,2011,140,Comedy|Drama|Romance,5.9,8069.0,Dimple Chaddha (Parineeti Chopra)  a brash 19 year old Delhi college girl falls in love with Sunny Singh  a fitness trainer. Raina Parulekar (Dipannita Sharma)  a 28 year old independent and successful corporate woman in Mumbai does business with an art dealer Deven Shah. Saira Rashid (Aditi Sharma)  a 24 year old sweet  hard working widow in Lucknow makes a new friend  the shy Iqbal Khan. Three very different girls who each get taken for a lot of money by each of these three men. The problem is that it is actually just one man - Ricky Bahl (Ranveer Singh)  a suave and charming con-man who revels in the game and is only after the Money. A chance encounter brings these three women together who vow to take down Ricky Bahl and get their money back. The next step is the actual plan. Enter Ishika Desai (Anushka Sharma)  a young and ambitious girl whose street smart ways will one day  very soon  get her to the top. The furious trio  one professional con-man and a girl who loves adventure. ...,"A smooth and charming conman  Ricky Bahl  cons girls for a living but finally meets his match is this fun-filled ""ROM-CON.""",,Ranveer Singh|Anushka Sharma|Parineeti Chopra|Dipannita Sharma|Aditi Sharma|,7 wins & 3 nominations,9 December 2011 (India),Maneesh Sharma,,Male,,49.4
tt7853242,Love per Square Foot,https://upload.wikimedia.org/wikipedia/en/3/3d/Love_Per_Square_Foot.png,https://en.wikipedia.org/wiki/Love_Per_Square_Foot,Love Per Square Foot,Love Per Square Foot,0,2018,133,Comedy|Romance,7.2,6248.0,Love Per Sq Ft  is a feature film which deals with the very common predicaments that faces today's urban youth; finding a house and finding love. Through the course of this romantic comedy we see Sanjay Chaturvedi and Karina D'souza desperately seeking a house  but realizing the difference between 'ghar' and 'makaan'.,Individually  Sanjay and Karina don't earn enough to be able to buy a home  so they enter into a marriage of convenience.,,Vicky Kaushal|Angira Dhar|Alankrita Sahai|Raghuvir Yadav|Ratna Pathak Shah|Supriya Pathak|Brijendra Kala|Rekha Bhardwaj|Kunaal Roy Kapur|Arunoday Singh|Deepal Doshi|Raviza Chauhan|Ranbir Kapoor|Asif Ali Beg|,,14 February 2018 (India),Anand Tiwari,,Male,,
tt3893476,Spark (2014 film),,https://en.wikipedia.org/wiki/Spark_(2014_film),Spark,Spark,0,2014,134,Action,5.7,28.0,The story is about a local Indian lad Arjun (Rajneesh Duggal) who falls in love with Anupama (Shubhashree Ganguly) while he is studying in Germany. They soon become passionate lovers willing to die for each other. But life takes a twist. Years ago  something happened in India  something incomplete was left behind  a game of deceit  which couldn't be completed without him. The Masters of the game (Govind Namdeo and Ashutosh Rana) play their game and bring him back to where it all started. Arjun finds himself in between the family feud and thinks that he is the 'Jack of the Game' but he is trapped and baffled. His every move was worked upon by the Masters and now he must rise above all to find his true love and uncover the truth behind all the hatred and enmity.,The story is about a local Indian lad Arjun (Rajneesh Duggal) who falls in love with Anupama (Shubhashree Ganguly) while he is studying in Germany. They soon become passionate lovers ...                    ,,Rati Agnihotri|Mansha Bahl|Rajniesh Duggall|Subhasree Ganguly|Manoj Joshi|Sanjay Mishra|Govind Namdeo|Rohit Raj|Ashutosh Rana|Ranjeet|,,10 October 2014 (India),V.K. Singh,,Unknown,,
tt2294685,Jeena Hai Toh Thok Daal,https://upload.wikimedia.org/wikipedia/en/thumb/d/dd/Jeena_Hai_Toh_Thok_Daal_Movie_Poster.jpg/220px-Jeena_Hai_Toh_Thok_Daal_Movie_Poster.jpg,https://en.wikipedia.org/wiki/Jeena_Hai_Toh_Thok_Daal,Jeena Hai Toh Thok Daal,Jeena Hai Toh Thok Daal,0,2012,123,Drama,6.0,22.0,Originating from the dark and gruesome underbelly of Bihar  Jeena Hai Toh Thok Daal is a story of the conscientious journey of four outlaws who set out to Mumbai for a mission. These four mercenaries who have grown up in the cradle of crime come from different age groups but are united in being the perfect hell raisers. Their freewheeling passion and addiction to thrill makes them take the route which very few can think of. In pursuit of one of such crimes  they set out to the city of dreams - Mumbai. Their ambitious plan comes to a screeching halt when one of them has a change of heart and their lives take an eventful turn. Is this the beginning of their transformation? Will they still complete the heinous crime which brought them to Mumbai? Or will they just become victims of fate and their sinister ambitions? Stuck in the quagmire of greed  politics and conspiracy  what does the fate has in store for these four guys?,The horrid realities of underworld crime as well as the changing times of Bihar state.,,Ravi Kishan|Manish Vatssalya|Yashpal Sharma|Rahul Kumar|Pooja Welling|Govind Namdeo|Hazel Croney|Sharat Saxena|Murli Sharma|Ashwini Kalsekar|Shubha Khote|Ganesh Yadav|,1 win & 1 nomination,14 September 2012 (India),Manish Vatssalya,,Male,,
